nickname,count,every,age
Rebelka,10,3491,v1
Peggy,10,1057,v7
MAKI,10,1436,v3
Mlok,10,2394,v3
Rak,10,1796,v3
Pepíno,10,2113,v7
Roy,10,835,v5
Muška,10,1669,v5
Princezna,10,1128,v6
Hřebík,10,1796,v3
Ivča,10,1436,v3
Kozel,10,1669,v5
Kamínek,10,3251,v2
Kubík,10,4335,v2
Kvítko,10,1656,v4
Hurvínek,10,1242,v4
Kapr,10,1128,v6
Lůca,10,1669,v5
Kosťa,10,835,v5
Hugo,10,835,v5
Kočička,10,4335,v2
Bagr,10,3591,v3
Forest,10,1796,v3
Elza,10,2394,v3
Bublinka,10,1656,v4
Fretka,10,1656,v4
Bětka,10,3491,v1
Duch,10,1656,v4
Adam,10,1128,v6
Bohouš,10,564,v6
Čenda,10,1656,v4
Bleška,10,564,v6
Čiko,10,1656,v4
Špagetka,9,3591,v3
Vašík,9,2909,v1
Vilík,9,1669,v5
Štír,9,1128,v6
Tweety,9,3591,v3
Siréna,9,3591,v3
Tichošlápek,9,835,v5
Šemík,9,835,v5
Teta,9,376,v6
Ríša,9,3715,v2
Pat,9,1669,v5
Max,9,3591,v3
Pavel,9,1128,v6
Rex,9,2394,v3
Opice,9,3491,v1
Rolf,9,528,v7
Pony,9,1128,v6
Mia,9,4335,v2
Guláš,9,2485,v4
Káča,9,835,v5
Chroust,9,1242,v4
Indi,9,2485,v4
Křupka,9,4335,v2
Kaštánek,9,3591,v3
Hvězda,9,5201,v2
Hříbě,9,3715,v2
Jiskra,9,2113,v7
Jura,9,835,v5
Lemur,9,3591,v3
Kocour,9,1057,v7
Joe,9,835,v5
Charlie,9,1669,v5
Jožin,9,835,v5
Kytka,9,835,v5
Kořen,9,2394,v3
Lady,9,704,v7
Jony,9,5201,v2
Kočka,9,4335,v2
Katy,9,2485,v4
Kámen,9,1669,v5
Čáp,9,1656,v4
Filda,9,4969,v4
Gabča,9,835,v5
Citrón,9,3715,v2
Betty,9,1057,v7
Čiperka,9,1128,v6
Bubla,9,1057,v7
Bludička,9,1128,v6
Fanta,9,5201,v2
Brácha,9,704,v7
Filip,9,3591,v3
Anča,9,1796,v3
Fousek,9,1057,v7
Balú,9,835,v5
Gandalf,9,1128,v6
Dáša,9,1128,v6
Ufon,8,3591,v3
Turbo,8,3591,v3
Zmizík,8,2113,v7
Šťopka,8,1656,v4
Sasanka,8,1796,v3
Venca,8,1656,v4
Wiki,8,1669,v5
Švestka,8,3591,v3
Sedmikráska,8,3491,v1
Sněženka,8,3591,v3
Špageta,8,1669,v5
Vilda,8,1057,v7
Syslík,8,2485,v4
Žvejka,8,4335,v2
Vlaštovka,8,3591,v3
Vrabčák,8,2485,v4
Růženka,8,4969,v4
Rohlík,8,5201,v2
Pegas,8,1057,v7
Mrkev,8,2485,v4
Nikča,8,2394,v3
Ouško,8,3715,v2
Madla,8,2485,v4
Polárka,8,2485,v4
Nik,8,1128,v6
Perla,8,2485,v4
Píďalka,8,1669,v5
Lvíček,8,3715,v2
Medvídek,8,1669,v5
Packa,8,1128,v6
Paleček,8,1128,v6
Mozek,8,1669,v5
Klokánek,8,1669,v5
Jára,8,2113,v7
Karlos,8,1796,v3
Hraboš,8,2485,v4
Choroš,8,1656,v4
Had,8,1669,v5
Gumídek,8,2485,v4
Kevin,8,4969,v4
Louda,8,2394,v3
Kika,8,3715,v2
Jožka,8,2113,v7
Kopřiva,8,3591,v3
Hrošík,8,1128,v6
Kamča,8,1796,v3
Křemílek,8,3591,v3
Kikina,8,1128,v6
Kšanda,8,2485,v4
Hanka,8,1057,v7
Jindra,8,835,v5
Jahoda,8,3715,v2
Janina,8,994,v4
José,8,556,v5
Houska,8,2394,v3
Ještěr,8,564,v6
Kapitán,8,3591,v3
Atom,8,2113,v7
Červík,8,1669,v5
Culík,8,1128,v6
Domča,8,1796,v3
Fífa,8,3591,v3
Alča,8,1128,v6
David,8,1669,v5
Drákula,8,1128,v6
